age,area,atmDistance,balconies,childrenPlayArea,clubHouse,garden,gym,hospitalDistance,joggingTrack,lift,powerBackup,price,restrauntDistance,schoolDistance,security,shoppingDistance,sportsFacility,status,swimmingPool
1,2800,0.3920132898626121,1,0,0,0,0,0.27261656334468903,0,0,0,9200000,0.6482663705630193,0.21681209041000385,0,0.5554100675763941,0,1,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,4250000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
12,1790,0.8322509386521059,3,0,0,0,0,0.8808923888510553,0,0,0,11500000,0.8170990434093419,0.7504666456571942,0,0.766552625892959,0,1,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,1500,0,0,0,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0
13,1375,0.6333882888144454,4,1,1,0,1,0.6525853143083391,0,1,1,6500000,0.6575630451660663,0.636075043541996,1,0.6116586611639849,0,1,0
0,3100,0,2,0,0,0,0,0,0,0,0,8000000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0.16620083086467302,0,0,0,4500000,0,0.18453604413197966,0,0,0,0,0
0,2178,0.23235741313557076,0,0,0,0,0,0.26027527834574504,0,0,0,2500000,0.23929460442971945,0.24760754216397085,0,0.21205734280688868,0,2,0
0,20000,0,0,0,0,0,0,0.25451903908974954,0,0,0,150000000,0,0.2932701081629503,0,0.462803333376918,0,2,0
20,1900,0.2996109584833156,0,0,0,0,0,0.3119734034801127,0,0,0,9500000,0.3177899632887862,0.3574989275705123,0,0.34059337719952465,0,1,0
0,1500,0,1,0,0,0,0,0,0,0,0,3130000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3800000,0,0,0,0,0,0,0
6,1600,0.3181339787179751,0,0,0,0,1,0.33507885086877126,0,0,0,9500000,0.2917885563552003,0.32025735615476325,0,0.2544713951434431,0,1,0
0,9950,0.364866328654614,0,0,0,0,0,0.32962861183555825,0,0,0,26250000,0.3495967674958058,0.41931961592230027,0,0.35115093864735264,0,2,0
0,2454,0.7563655670396889,2,0,0,0,0,0.7681189124067137,0,0,0,23500000,0.7762000732477056,0.7509888508572748,0,0.6837599786667131,0,1,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,3300000,0,0,0,0,0,0,0
0,2000,0,1,0,0,0,0,0.16620083086467302,0,0,0,6000000,0,0.18453604413197966,0,0,0,0,0
0,2060,0.3020541112525854,0,0,0,0,0,0.3005224352021214,0,0,0,5800000,0.2904190635024688,0.2721430705236056,0,0.2871332867361035,0,1,0
2,2019,0.7245346150338393,3,1,1,0,1,0.7168101296497268,0,1,1,15000000,0.7267413666662766,0.7605952850698855,1,0.7201381128861981,0,1,1
0,1500,0,1,0,0,0,0,0.16620083086467302,0,0,0,3800000,0,0.18453604413197966,0,0,0,0,0
0,1650,0,1,0,0,0,0,0,0,0,0,6100000,0,0,0,0,0,0,0
0,1550,0,1,0,0,0,0,0,0,0,0,5219000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3800000,0,0,0,0,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,3750000,0,0,0,0,0,0,0
0,1650,0,1,0,0,0,0,0,0,0,0,5390000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,3300000,0,0,0,0,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,3300000,0,0,0,0,0,0,0
0,1500,0.7572015646943849,0,0,0,0,0,0.726904212410977,0,0,0,4000000,0.7213027397269035,0.8722769130420163,0,0.7389827837123953,0,0,0
0,1500,0,1,0,0,0,0,0.15621909551751478,0,0,0,3900000,0,0.17266671339573184,0,0,0,0,0
0,1400,0.34997669734442616,1,0,0,0,0,0.35579729389228915,0,0,0,7500000,0.3706576328162842,0.38167837063157417,0,0.30968306386003985,0,0,0
0,1600,0.3868874170257759,2,0,0,1,1,0.2919965895648173,0,0,1,6400000,0.2222095244157306,0.2741047516599057,1,0.2111966423678332,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,3300000,0,0,0,0,0,0,0
11,1825,0.5944894656286942,2,1,1,0,1,0.6264547981462547,0,0,0,9900000,0.5968368261690662,0.6697501131438767,1,0.599767641122383,0,1,1
0,1500,0,1,0,0,0,0,0,0,0,0,4750000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,1300,0.2939350719481758,1,0,0,0,0,0.3177038540233048,0,0,0,6500000,0.2829481959379343,0.31645652525904294,0,0.2785449977625244,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4750000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,4500000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
2,1500,0,1,0,0,0,0,0,0,0,0,3381000,0,0,0,0,0,1,0
0,2500,0,0,0,0,0,0,0,0,0,0,9900000,0,0,0,0,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,4050000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,4250000,0,0,0,0,0,0,0
0,1650,0,1,0,0,0,0,0,0,0,0,6100000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3800000,0,0,0,0,0,0,0
0,3484,0.24662528620527316,0,0,0,0,0,0.28113318706568236,0,0,0,2640000,0.24780725211877994,0.23624613542374162,0,0.23033583516674946,0,2,0
0,5227,0.6325330255897412,0,0,0,0,0,0.7039972429754209,0,0,0,13500000,0.6715759037022427,0.6571938706433441,0,0.7065835676806397,0,2,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
